334|Accounting Information for Managers|ARBUS 102||This course is designed for non-accountants who will use accounting information for planning, control, and decision-making.
335|Entrepreneurship Principles and Practices|ARBUS 200||The role of the entrepreneur, the entrepreneurial firm, and the creative society are examined. Students are exposed to the practices that enable workplace creativity and innovation with exposure to leadership theory and project management.
336|Professional and Business Ethics|ARBUS 202||Study of ethical and moral issues that typically arise in professional and business activity. What responsibilities to society at large do people in such business and professional activities as teaching, engineering, planning, architecture, and accounting have? How far should professional autonomy extend?
337|Practical Business Skills|ARBUS 300||This course will introduce students to important and relevant business skills that will assist them as they prepare for successful careers. The course will supplement contemporary theories with appropriate case studies.
338|International Business|ARBUS 301||This course examines the opportunities, risks, and challenges faced by businesses in international markets, as well as the preparation required to operate them.
339|Principles of Marketing|ARBUS 302||This course is designed to provide a broad understanding of the field of marketing, including consumer behaviour, segmentation, targeting, positioning, branding, and the marketing mix. Students will gain an understanding of how organizations identify the needs of potential consumers and create and deliver value to these consumers through the marketing process.
340|Marketing Strategy|ARBUS 303||Building on the fundamentals introduced in Principles of Marketing, students are given an opportunity to apply these concepts to real world situations in an interactive learning environment. Using cases and simulated markets, students make strategic decisions, defend their decisions, and see the repercussions in real time.
341|Strategy and Program Integration|ARBUS 400||A capstone course designed to integrate the arts and business components of the program that incorporate the principles of strategy for the purpose of enabling students to effectively position themselves for opportunities after graduation.
342|Introduction to Aviation|AVIA 100||This course incorporates a survey of topic areas that impact the aviation industry in Canada. Key areas include aviation history, civil and military aviation, human factors, airspace and air traffic control systems, airport management, and aviation safety. The nature and impact of each of these topics is explored through a combination of lecture, class discussion and activities, and student presentations. [Offered: F]
343|Professional Pilot Program Course 1|AVIA 101||This course provides the required Preparatory Ground Instruction to prepare students for the air exercises to be completed during in-aircraft instruction that is conducted as part of the course. Students will complete flight training to the First Solo level and acquire approximately 20 hours of flight time. This course also includes the ground school required to prepare the student to write the Transport Canada Private Pilot Licence - Airplane examination. The course provides a solid base of the knowledge required to be a safe and proficient professional pilot.
344|Professional Pilot Program Course 2|AVIA 102||This course is a continuation of AVIA 101 and provides the required Preparatory Ground Instruction to prepare students for the air exercises to be completed during in-aircraft instruction that is conducted as part of the course. Students will complete flight training to the Private Pilot Licence level and acquire approximately 45 hours of flight time in the semester to total 65 hours of flight time to date.
345|Professional Pilot Program Course 3|AVIA 203||This course is a continuation of AVIA 102 and provides the required Preparatory Ground Instruction to prepare students for the air exercises to be completed during in-aircraft instruction that is conducted as part of the course. Students will complete flight training required to acquire the Night Rating and acquire additional cross-country Pilot-in-Command time to total approximately 85 hours flight time by the end of the course.
346|Professional Pilot Program Course 4|AVIA 204||This course continues from AVIA 203 and provides the required Preparatory Ground Instruction to prepare students for the air exercises to be completed during in-aircraft instruction that is conducted as part of the course. Students will complete a dual cross-border flight to the United States as well as a dual flight into high density controlled airspace (CYYZ). Students also complete a check-out in a complex aircraft and acquire additional cross-country pilot-in-command time. Students will have acquired approximately 110 hours total flight time by the end of the course. This course also includes the ground school required to prepare the student to write the Transport Canada Commercial Pilot Licence - Airplane examination.
347|Professional Pilot Program Course 5|AVIA 205||This course continues from AVIA 204 and provides the required Preparatory Ground Instruction to prepare students for the air exercises to be completed during in-aircraft instruction that is conducted as part of the course. Students will complete a solo cross-border flight to the United States as well as a dual flight into a grass field. Students also complete a check-out in a glass cockpit aircraft and work on acquiring cross-country Pilot-in-Command time. Preparation for the Commercial Pilot Flight Test is started during this course as well. The student will have acquired approximately 155 hours total flight time by the end of the course.
348|Remotely Piloted Aircraft Systems (RPAS) Knowledge Requirements|AVIA 270||Students will gain knowledge about the requirements and constraints affecting recreational, commercial and research RPAS (Unmanned Aerial Vehicles [UAV], Unmanned Aircraft Systems [UAS]) flights for geomatics applications. Theory and conceptual factors affecting flight, remote sensing, and spatial analysis with very-high resolution data will be discussed. Students will gain knowledge about how to navigate regulatory requirements. They will learn how to link their science and research objectives with geomatics skills to mitigate risk and obtain regulatory approval for legal RPAS flights. Assignments provide a range of experiences to students that may include: applied aspects of flight campaign approval, setup, management; flight training; and integrating imagery with geographic information systems.
349|Professional Pilot Program Course 6|AVIA 306||This course continues from AVIA 205 and provides the required Preparatory Ground Instruction to prepare students for the air exercises to be completed during in-aircraft instruction that is conducted as part of the course. Students will complete the Commercial Pilot Flight Test early in the course and then complete the training for the Multi-Engine Class Rating. Students will have acquired approximately 175 hours total flight time by the end of the course. This course also includes ground school to prepare students to write the Transport Canada Instrument Rating examination.
350|Professional Pilot Program Course 7|AVIA 307||This course continues from AVIA 306 and focuses on exercises that apply knowledge of various considerations and procedures for flight in instrument meteorological conditions. Pairs of students will function as two-person flight crews during simulated IFR flights. Scenarios will enable students to recognize, avoid, or manage situations that lead to incidents. Also included is a tour of the Toronto Area Control Centre. The flight portion focuses on acquiring cross-country Pilot-in-Command time to meet the requirements for the Instrument Rating. This course also includes ground school in preparation for students to write the Transport Canada IATRA examination and training in wilderness survival and First Aid skills.
351|Human Factors in Aviation|AVIA 310||An exploration of aviation non-technical skills and their impact on aviation safety and operational performance. Components explore workload, management, situational awareness, decision-making, and crew co-ordination.
352|Special Topics in Aviation|AVIA 374||A course offered in a particular branch of aviation, subject to availability of instructor.
353|Professional Pilot Program Course 8|AVIA 408||This course continues from AVIA 307 and completes the instruction toward the Group 1 Instrument Rating. Training will be conducted using a combination of simulator, single engine aircraft, and multi-engine aircraft. Flight in instrument meteorological conditions will be conducted whenever practicable. Any outstanding flight time requirements for the issue of the Commercial Pilot Licence will also be completed. This course completes the flight training.
354|Aviation Sustainability|AVIA 416||An exploration of how sustainability is sought within the international aviation industry. The course takes a cross-sectional approach to aviation, exploring sustainability within the various sectors that make up the air transport system (e.g., air law, aircraft, operations, navigation, airports, and safety). Both the positive and negative impacts of aviation upon the sustainable development goals will be analyzed through reviewing case studies and industry practices. This course includes significant student project teamwork.
355|Aviation Safety|AVIA 417||This course is an advanced exploration of how aviation safety is managed at the organizational level. Content will include explorations of pilot threat and error management, safety management systems (including risk analysis and hazard identification), and safety audits. The focal point of the course is on understanding the nature and causation of accidents. This course includes significant student project teamwork. [Offered: W]
356|Special Topics in Aviation|AVIA 474||An advanced special topics course offered in a particular branch of aviation, subject to availability of instructor.
357|Independent Studies of Selected Topics|AVIA 475||Individual study of special topics not covered in other aviation courses. Students will not be given permission to register for this course until a faculty member has agreed to supervise the study and the student has developed a brief outline of study to be approved by the Director of Aviation.
358|Biodiversity, Biomes, and Evolution|BIOL 110||A survey of organisms that inhabit a range of aquatic and terrestrial ecosystems (e.g., coral reefs, lakes, forests). Through a lens of evolution this course focuses on how life has adapted to physical conditions, interactions with neighbouring organisms, and the influence of flora and fauna on the world we inhabit. Evolutionary and ecological frameworks will be used to explore how organisms diversify and are considered distinct species. Developing hypotheses, collecting and analyzing data, and determining how to best communicate results will be carried out. [Offered: F]
359|Introductory Cell Biology|BIOL 130||An introduction to the concepts of cell biology with emphasis on (1) the structural organization of the cell and (2) the function of critical molecular processes that are characteristic of living organisms.
360|Cell Biology Laboratory|BIOL 130L||Experiments to study the principles of cell biology that are elaborated in BIOL 130. [Offered: F,S]
361|Organismal and Evolutionary Ecology|BIOL 150||This course provides students with an introduction to the basic principles of scientific reasoning, ecology, and evolution. Coverage includes hypothesis testing and the nature of scientific inquiry, basic population genetics, physiological ecology, life histories, dispersal, basic population and community ecology, macroevolution, systematics and classification, as well as functional morphology. [Offered: F]
362|Diversity of Life|BIOL 165||An introduction to the diversity of living organisms from simple prokaryotes to complex eukaryotes. Current ideas on classification and phylogeny will be compared with traditional schemes. Morphology, ecology, and economic uses of representative Phyla and Divisions will be discussed. [Formerly BIOL 265. Offered: W]
363|Human Anatomy|BIOL 201||This course takes a systems approach to study the structure of the human body and its relationship to function. [Formerly BIOL 301; Offered: F]
364|Introductory Vertebrate Zoology|BIOL 211||An introduction to the structure, evolution and development of vertebrate organ systems. [Offered: W]
365|Introduction to Plant Structure and Function|BIOL 220||An introduction to plant diversity, and the anatomy and physiology of vascular plants. The course will include a description of major cell and tissue types, and their organization in roots, stems, and leaves. Topics such as the processes of water and ion uptake, photosynthesis, long distance transport, and growth regulation will also be covered.
366|Plants and Civilization|BIOL 225||This course examines the importance of plants and the role they have in the local and global community. It introduces students to the impact of plants on the past, present and future of human civilization and describes the importance of plants as sources of food, medicine, fuel, shelter, clothing and psychoactive agents. Topics include medicinal plants and human health, the origin of agricultural crops, plants that changed the course of history, plant-based biofuels, the green revolution, plant biotechnology and genetic engineering of plants. [Offered: F]
367|Genetics|BIOL 239||Mendelian genetics. Chromosomal mechanisms in mitosis and meiosis. The origin, inheritance and adaptive significance of chromosomal changes. Nucleic acids as the carriers of genetic information. Natural selection and the evolution of genetic systems. [Formerly BIOL 139. Offered: W,S; online F]
368|Fundamentals of Microbiology|BIOL 240||Introduction to the biology of bacterial and archaeal organisms. Topics include cell structure and function, methods of cultivation, genetics, phylogeny and taxonomy, and metabolic and genetic diversity.
369|Microbiology Laboratory|BIOL 240L||Experiments to study the principles of microbiology that are elaborated in BIOL 240. [Formerly BIOL 140L. Offered: F,S]
370|Introduction to Applied Microbiology|BIOL 241||Introduction to microbial ecology, environmental microbiology, food microbiology, and medical microbiology. Topics in environmental microbiology include biogeochemical cycling and biological treatment of wastes and pollutants. Topics in medical microbiology include concepts of immunology and host-parasite relationships. [Offered: W,S]
371|Fundamentals of Ecology|BIOL 251||This course provides students with an introduction to the breadth of the ecology discipline. It covers hypothesis testing and the nature of scientific inquiry, organismal, population, community, and ecosystem levels of ecology. [Offered: F]
372|Introduction to Computational Biology|BIOL 266||This course provides an introduction to computational methods in biology, including exploration of bioinformatics databases and tools, analysis of protein and DNA sequences, and computer-aided modelling of biological systems. Labs will include practical experience applying computational tools to biological problems.
373|Principles of Human Physiology 1|BIOL 273||The physiology of major organ systems of the human body. Topics include neurophysiology and peripheral nervous system, muscle, the cardiovascular system, the components of blood, respiratory system, and immune system. The combination of BIOL 273 and BIOL 373 covers all of the major topics of human physiology.
374|Introduction to Biophysics|BIOL 280||Introduction to a physical understanding of biological systems at macro and molecular scales. The course is intended for second-year science and engineering students and will cover a broad spectrum of topics in biophysics, as well as an introduction to neurobiology, nanotechnology, and biotechnology. [Offered: W,S]
375|Functional Histology|BIOL 302||A hierarchical approach to biological structure with an emphasis on functional morphology. Starting with the cell, the fundamental unit of structure and function, the material progressively develops how cells organize to form tissues such as epithelium, connective tissue and muscle. Emphasis on how these tissue building blocks cooperate to form the major organs and organ systems of the human body. [Offered: W]
376|Introductory Developmental Biology and Embryology|BIOL 303||Fundamental processes and concepts in embryonic development including the acquisition of multicellularity, organization of the early embryo, morphogenesis of tissues, major organ systems, fetal membranes, growth, differentiation, and analysis of common developmental defects. [Offered: F,S]
377|Principles of Molecular Biology|BIOL 308||Prokaryote and eukaryote genome structure and replication; mechanisms of gene expression and regulation.
378|Analytical Methods in Molecular Biology|BIOL 309||An introduction to molecular methods used to analyze the structure of genes and genomes, including DNA sequencing, cloning, restriction mapping and bioinformatic tools. Techniques to monitor transcript and protein abundance, protein-protein and DNA-protein interactions will also be covered.
379|Invertebrate Zoology|BIOL 310||The diversity of invertebrate animals will be explored in this class. Topics covered will include reproduction, development, life history, feeding, locomotion, and behaviour. [Offered: F]
380|The Natural History of Aquatic Organisms|BIOL 312||This course will introduce students to the diversity of freshwater organisms and their habitats. Emphasis will be placed on sampling techniques, taxonomic identification, life histories, and adaptations to aquatic environments. The course will introduce students to the use of aquatic organisms in environmental impact and biodiversity assessments. Students must be prepared to work outdoors in potentially inclement weather.
381|Plant Physiology|BIOL 323||A study of plant physiological processes with an emphasis on the role of key metabolic pathways in plant growth and development. Topics such as photosynthesis, nitrogen assimilation, growth regulators, mineral nutrition, water relations, and stress physiology will be covered. [Offered: F]
382|Flowering Plants|BIOL 325||A study of floral morphology in relation to classification and evolution. An introduction to taxonomy and nomenclature. History of taxonomy. Systems of classification. Mechanisms of pollination. [Offered: F]
383|Advanced Cell Biology|BIOL 331||The functional organization of cells with particular reference to cell-cell interaction, the structure, function and development of organelles and the biological roles of cellular membranes. [Offered: W]
384|Molecular Biology Techniques|BIOL 335L||Selected experiments to provide students with a range of laboratory skills in recombinant DNA technology.
385|Fundamentals of Immunology|BIOL 341||This course will provide students with an understanding of the fundamental concepts of the vertebrate immune system. Topics will focus on the components of the immune system, innate and adaptive immunity, immune cell development, communication, and recognition of non-self leading to an immune response. [Offered: W]
386|Molecular Biotechnology 1|BIOL 342||Molecular biotechnology applies the principles of recombinant DNA technology (genetic engineering, gene cloning) to the development of commercial products. The methods of recombinant DNA technology, molecular diagnostic systems for detecting diseases and transgenic organisms will be discussed.
387|Microorganisms in Foods|BIOL 345||Food preservation, spoilage, poisoning and modern concepts in quality assurance programs are studied. The aim is to understand factors governing microbial changes in foods. Problem solving in the food industry is emphasized. Laboratory work will reflect current practices in quality control and testing. [Offered: F]
388|Microbial Ecology and Diversity|BIOL 346||Examples from terrestrial and aquatic ecosystems, and plant- and animal-associated environments, will be used to illustrate the activities and diversity of microorganisms in these habitats. The importance of the ecological roles of microbes to aspects of agriculture, geochemistry, human biology, and the biology of extreme environments will be considered. [Offered: W]
389|Laboratory Methods in Microbiology|BIOL 348L||Selected experiments to provide students with a range of laboratory skills in microbiology. [Offered: W]
390|Synthetic Biology Project Design|BIOL 349||Synthetic biology involves developing new approaches, based on engineering principles, for genetic engineering of biological systems. Students will prepare a comprehensive research proposal for a synthetic biology project of their own design, under the supervision of a faculty member. Attendance at a weekly journal club focused on synthetic biology will be mandatory. [Offered: F,W,S].
391|Ecosystem Ecology|BIOL 350||This course provides an overview of the dynamic interactions among microbes, plants, animals and their physical environment with emphasis on ecosystem structure and function. Topics include the hydrological cycle, biogeochemical cycling, ecological energetics, roles of population and community interactions, paleoecology and current topics in ecosystem science. [Offered: F]
392|Aquatic Ecology|BIOL 351||Study of the structure and function of lake and stream ecosystems. The course emphasizes biological components and processes, but includes the origin and nature of lake and stream systems and the fundamentals of surface water chemistry and physics. Human influences, management options and current issues will be examined with readings and project work. [Offered: W]
393|Environmental Toxicology 1|BIOL 354||An introduction to the basic theories, principles and techniques of environmental toxicology. A comparative study of the effects of specific groups of toxicants on ecosystems; biodegradation and cycling. [Offered: F,S]
394|Biology of Human Aging|BIOL 355||An overview of current aspects of the biology of human aging and the functional changes associated with both normal aging and pathological problems often present in the elderly. Biological theories of aging and normal age-related structural and physiological changes on all of the major body systems will be discussed. Extrinsic factors such as diet and exercise and their role on the aging process will be examined as well as various medical treatments. [Offered: W]
395|Evolution 1: Mechanisms|BIOL 359||A study of the processes of evolution; the differentiation of populations and the origin of new forms of life. [Offered: F, W; online S]
396|Evolution 2: Fossil Record|BIOL 360||An overview of the origin of life, how it evolved and diversified, modern principles of paleontology with particular emphasis on analytical tools to interpret ancient life forms. Patterns, processes of evolution and paleoecology of key groups of microfossils, invertebrates, plants, vertebrates and their trace fossils. [Offered: W]
397|Biostatistics and Experimental Design|BIOL 361||An introduction to hypothesis testing and experimental design in biology. Topics will include exploratory data analysis, analysis of variance, categorical data analysis, correlation, linear regression, multiple linear regression, power analysis, visualization tools, and statistical software. [Offered: W]
398|Mathematical Modelling in Biology|BIOL 364||An introduction to the mathematical modelling of biological processes using a variety of techniques including linear difference models, ordinary differential equations, and Markov models. Modelling applications ranging from genetics to ecosystem biology will be addressed. [Offered: F]
399|Methods in Bioinformatics|BIOL 365||This course covers bioinformatics methods with an emphasis on analysis of high-throughput `-omics' data. Topics include analysis of genome-scale gene and protein expression, construction of species and gene trees from molecular sequence data, and analysis of biological systems using bioinformatics tools. Included will be practical experience with bioinformatics tools and datasets. [Offered: W]
400|Comparative Animal Physiology: Environmental Aspects|BIOL 370||A comparative study of salt and water balance, circulation, respiratory systems, nitrogenous excretion, and mechanisms of energy acquisition and metabolism in animals. Adaptations to different environments will be emphasized. [Offered: F]
401|Comparative Animal Physiology: Evolutionary Themes|BIOL 371||A comparative study of neural, sensory, endocrine, digestive, and reproductive strategies across animal taxa. The emphasis will be on evolutionary themes at the organismal, cellular, and molecular levels. [Offered: W]
402|Principles of Human Physiology 2|BIOL 373||The physiology of major organ systems of the human body. Topics include the central nervous system, the sense organs, the digestive system, the endocrine system, the reproductive system, and the excretory system. [Offered: W]
403|Human Physiology Laboratory|BIOL 373L||Laboratory exercises to study the principles of human physiology. [Offered: W]
404|Cellular Neurophysiology|BIOL 376||This course gives students background in neuronal signaling, ion channels, and methods in electrophysiological recording methods. The course requires completion of neuro-simulation laboratories, which provide an introduction to biophysical modelling to explain the functions of neural systems.
405|Computational Modelling of Cellular Systems|BIOL 382||An introduction to dynamic mathematical modeling of cellular processes. The emphasis is on using computational tools to investigate differential equation-based models. A variety of cellular phenomena are discussed, including ion pumps, membrane potentials, intercellular communication, genetic networks, regulation of metabolic pathways, and signal transduction. [Offered in the W of even numbered years.]
406|Tropical Ecosystems|BIOL 383||This course examines the fundamental concepts of terrestrial ecosystems in tropical climates. The course has three sections: (1) biophysical aspects (climate, location, landforms, soil, vegetation), (2) tropical resource systems (forest- and agroecosystems) within the framework of conventional and sustainable resource extraction, and (3) current conservation issues. Case studies are presented.
407|Advanced Topics in Developmental Biology|BIOL 403||This course explores the cellular and molecular basis of developmental phenomena in animals. Lectures will emphasize the experimental basis for both historical and contemporary knowledge with a focus on the major developmental systems in model organisms. Course content will concentrate on themes that permeate current published research.
408|Parasitology|BIOL 414||This course will explore how parasites affect their host(s) and interact with other parasites. Attention will be given to eukaryotic parasites impacting human and domestic animal health. Public measures of parasite control will be covered. [Offered: W]
409|Plant Molecular Genetics|BIOL 428||An examination of the current molecular techniques used to study plant development physiology. Topics include mutant isolation, transcript and metabolite profiling, gene silencing and protein localization.
410|Bacterial Molecular Genetics|BIOL 431||Bacterial molecular biology with an emphasis on the use of genetic tools to study the biology of microorganisms. Topics include mutagenesis, conjugation, recombination, gene regulation, plasmids, transposons, bacteriophage and genomics. [Offered: W]
411|Molecular Biotechnology 2|BIOL 432||How recombinant DNA technology is used to produce vaccines, pharmaceuticals, crop plants, and other commercial products will be discussed. [Offered: W]
412|Plant Biotechnology|BIOL 433||Biotechnological approaches and their applications in plant genetic manipulation, transformation and cell culture for plant improvement, propagation, and biochemical production. [Offered: F]
413|Human Molecular Genetics|BIOL 434||Recent advances in human molecular genetics will be examined with emphasis on how human disease-causing genes are mapped, identified, isolated and characterized. Examples will draw from research on Duchenne muscular dystrophy, Huntington disease, cystic fibrosis, Alzheimer disease, cancer, vision defects and other disorders. [Offered: F]
414|Molecular Biology of Animal Development|BIOL 438||An examination of the current major issues in the regulation of gene expression during animal development with emphasis on technical and conceptual advances. Current research literature will be reviewed. [Offered: W]
415|Environmental and Natural Products Biochemistry|BIOL 439||This course deals with the functions, distribution and environmental ramifications of natural compounds produced by plants and other biological systems. Natural products are those compounds usually described as secondary metabolites, i.e. those apparently non-essential products whose physiological and ecological functions are either obscure or are of peripheral importance to the organism. However, many of these non-essential products have profound competitive, economic and pharmacological significance; and as research proceeds, their physiological roles within the parent organisms are becoming clearer. As well, this course has a strong emphasis on how environmental chemical and physical processes impact on living organisms and their biochemistry. [Offered: F]
416|Advances in Immunology|BIOL 441||A survey of the recent advances in the vertebrate immune response; the cells and tissues of the lymphoid system; humoral and cell-mediated immunity; initiation and regulation of the immune response; the immune system and disease, emerging techniques used in immunology. [Offered: W]
417|Virology|BIOL 442||A survey of viral structures, life cycles, and the interactions of viruses with their hosts. The laboratory component will include procedures used for viral detection and titration, as well as individual library research projects. [Offered: W]
418|Fermentation Biotechnology|BIOL 443||Biology of industrial micro-organisms: fermentation systems; fermentation raw materials; downstream processing; biomass production; food fermentations; production of industrial chemicals, food additives, enzymes and other products by fermentation. [Offered: F]
419|Bacterial Pathogenesis|BIOL 444||A study of the bacteria involved in pathogenesis, their mode of infection, symptoms and prevention of diseases. The laboratory will focus on identification of bacterial isolates. [Offered: F]
420|Environmental Microbiology|BIOL 447||A study of the environmental impact of microorganisms. Aspects of pollution, waste treatment, biodegradation of environmental contaminants, and nutrient cycling will be examined. [Offered: F]
421|Microbial Physiology and Biochemistry|BIOL 448||A study of the physiology of microorganisms. Provides biochemical- and molecular-level detail on the diverse structures and metabolic functions of bacterial, archaeal, and eukaryal cells. Aspects of microbial growth, nutrition, and metabolism are examined in the context of how microorganisms develop diverse solutions for meeting essential requirements for life. [Offered: F]
422|Public Health Microbiology|BIOL 449||How the health of human populations is influenced by microbial communities. Aspects of the epidemiology of infectious diseases, factors influencing the emergence of microbial pathogens and antibiotic-resistant strains, means to control undesired microbial populations in habitats such as water, biodegradable materials and food will be discussed. Approaches to the regulation and monitoring of microbial agents will also be examined.
423|Marine Biology|BIOL 450||Ecological processes and evolutionary adaptation are explored in the world's largest and most diverse ecosystems. The major ocean habitats will be characterized, stressing their importance as resources, moderators of climate and reservoirs of biodiversity. [Notes: Offered: W]
424|Advanced Ecology and Evolution|BIOL 451||Students will use scientific literature to explore and analyze a range of advanced topics in ecology and evolution at the individual, population, community, and ecosystem scales. Recent advances in understanding of fundamental concepts as well as current frontiers in the field will be examined through written reports, essays, and oral presentations. [Offered: F]
425|Quantitative Fisheries Biology|BIOL 452||The practices of fisheries science including the effects of industrial fisheries on fish stocks; methods of capture, obtaining, using, and interpretation of vital statistics of fish stocks; population estimation; stock-recruitment; growth; mortality; and fecundity. Emphasis is placed on the use of statistical information for making ecological inferences about the status of fish populations.
426|Ecological Risk Assessment and Management|BIOL 455||Examination of the use of scientific information characterizing the risks posed to the environment by anthropogenic stresses. Discussions will take place in the context of aquatic ecology and presume a background of standard aquatic toxicology methods. Methods for assessing risks, including environmental impact assessment, risk quotients, national, and international risk assessment paradigms, and cumulative effects assessment will be examined. Critical connections between assessment and management will also be discussed. [Offered: F of even years]
427|Population Biology|BIOL 456||The analysis of the structure and dynamics of plant and animal populations. Theoretical, mathematical and experimental approaches to the study of population ecology.
428|Analysis of Communities|BIOL 457||A study of the organization, structure and development of communities with emphasis on vegetation change. Topics include: diversity, stability; succession; sampling procedures and multivariate analysis. [Offered: W]
429|Quantitative Ecology|BIOL 458||The course addresses the integration of mathematical and statistical tools to solve problems in ecology, using examples from individual, population, community, and ecosystem scales. Coursework will explore the relationships between models, hypotheses, experiments and data.
430|Advanced Biostatistics|BIOL 461||Advanced aspects of statistics and experimental design for biologists. Topics will include analysis of variance (factorial, hierarchical and blocking designs; fixed- and random-effects models); a-priori and a-posteriori comparisons; multivariate analysis of variance; analysis of covariance; multiple linear regression; multivariate statistics (indirect and direct gradient analysis). [Offered: W]
431|Applied Wetland Science|BIOL 462||Advanced concepts on wetland ecosystems in the context of regional and global earth systems processes such as carbon and nitrogen cycling and climate change, applications of wetland paleoecology, use of isotopes and other geochemical tools in wetland science, and wetland engineering in landscape rehabilitation and ecotechnology. Current issues in Canada and abroad will be examined. [Offered: F]
432|Structural Bioinformatics|BIOL 465||Analysis of proteins using structural and bioinformatics approaches. Topics include methods of protein structure determination and visualization, structure comparison and prediction, prediction of protein function and interactions, molecular dynamics, and protein design. [Offered: W]
433|Genomics|BIOL 469||An applied course on the computational exploration of genomes. Topics include comparative and evolutionary genomics, metagenomics, and genomics applications in health/medicine. The lab will involve analysis of genomic datasets using scripting and bioinformatic software. [Offered: F]
434|Methods of Aquatic Ecology|BIOL 470||An introduction to methods used to sample and characterize the ecological structure and function of aquatic ecosystems, including basic aspects of the abiotic environment. Field trips to lake and stream sites are combined with laboratory analysis of samples and data. While the main emphasis is on the techniques, the exercises also provide direct experience with some of the natural and anthropogenic variation observable in aquatic systems.
435|Cell Biology of Human Disease|BIOL 472||This course focuses on the nature and mechanisms of disease processes. Abnormalities in the structure and function of cells, tissues and organs that underlie disease are explored. Emphasis is placed on current research aimed at understanding the mechanisms of disease and disease therapy, covering topics including inherited disorders, cellular pathology and immunology, diabetes and cancer. [Offered F]
436|Mammalian Reproduction|BIOL 473||This course will provide an in-depth coverage of reproductive biology in a range of mammalian species. Emphasis will be on the principles underlying the regulation of key reproductive processes, from the whole animal to the molecular level. Topics will include applications of these principles to human and veterinary medicine, and ethical problems posed by some reproductive technologies. [Offered: F]
437|Current Topics in Microbiology|BIOL 475||Students will explore and analyze a variety of often controversial topics in microbiology as reflected in popular culture and the current scientific literature. This course involves significant in-class group work. An essay and presentations are required. [Offered W]
438|Systems Neuroscience: From Neurons to Behaviour|BIOL 476||Systems neuroscience attempts to explain complex functions of the nervous system in terms of underlying neural circuits. The course focuses on how neural circuits analyze sensory information, form perceptions, make decisions, and execute movements, as well as contribute to high-level mental functions such as language, memory, and self-awareness.
439|Techniques in Animal Physiology|BIOL 477L||Laboratory exercises and computer-based data collection to study the functions of the cardiovascular, respiratory, nervous, digestive, and excretory systems of vertebrates and invertebrate animals. Students will learn animal handling techniques, data collection with state of the art physiological equipment, and data analysis using computer software. Tutorials will allow students to investigate and discuss current animal physiology research topics in greater detail. [Formerly BIOL 374L. Offered: W]
440|Population Genetics and Evolution|BIOL 479||This course provides an overview of the interplay among mutation, random and non-random mating, genetic drift, gene flow, and selection within and among natural populations. Special emphasis is placed on the dynamic role these factors play in the process of population divergence, and ultimately speciation. Case studies will illustrate the application of population genetic methodology in fields such as ecology, conservation biology, and forensic sciences. [Offered: W]
441|Animal Cell Biotechnology|BIOL 483||A study of the techniques and applications of animal cell culture to biotechnology. Topics include basic cell culture technique, gene modification, products of animal cell culture, large-scale productions, and tissue engineering. [Offered: W]
442|Advanced Eukaryotic Genetics|BIOL 484||The role of classical genetic analysis in the context of today's genomic era. Topics: meiotic recombination, meiosis, complementation analysis, chromosome aberrations, and genetic interactions. Methods used in model eukaryotic genetic organisms such as forward and reverse genetic screens, genetic mosaics, conditional mutants, and genetic mapping will be discussed. Examples will illustrate how genes continue to be identified using classical-based approaches in a variety of biological processes, including cell cycle progression, cancer and metastasis, learning and memory, as well as pattern formation and embryonic development. Alternatives to traditional mutagenesis-based screens and the links between classical and molecular genetics will also be discussed. [Offered: W]
443|Conservation Biology|BIOL 485||An introduction to conservation biology and the ongoing biodiversity crisis. Topics will include the history of conservation biology and impacts on populations, communities, and ecosystems. [Offered: W]
444|Glycobiology|BIOL 486||Monosaccharides and their linkages; conformations of oligosaccharides; glycoconjugates/glycoproteins: their physiological functions and how they are synthesized; O- and N-glycosylation; receptors and lectins; glycobiology of plants, viruses and microbes; glycobiology and disease; glycans as bio-energy sources.
445|Computational Neuroscience|BIOL 487||Introduction to modelling and analysis of neurophysiological systems. Models of synaptic plasticity and learning, with focus on the similarities and differences between neuroscience and deep learning.
446|Arctic Ecology|BIOL 489||This course explores the unique ecology of Arctic and sub-Arctic ecosystems. Topics addressed will include postglacial history, climate, permafrost, nutrient cycling and food web structure of terrestrial, marine, and freshwater systems, plant and animal adaptations to cold, human ecology, traditional ecological knowledge, climate change, resource extraction, and other human impacts.
447|Biology Field Course 1|BIOL 490A||A two-week field study of terrestrial, aquatic, and/or marine biology offered by the Ontario Universities Program in Field Biology (OUPFB). OUPFB offers a diverse array of courses annually that normally take place at off campus locations. Field courses consist of lectures, field exercises, and a small project chosen in consultation with the course instructor(s). Contact the Biology Department field course coordinator for additional information.
448|Biology Field Course 2|BIOL 490B||A two-week field study of terrestrial, aquatic, and/or marine biology offered by the Ontario Universities Program in Field Biology (OUPFB). OUPFB offers a diverse array of courses annually that normally take place at off campus locations. Field courses consist of lectures, field exercises, and a small project chosen in consultation with the course instructor(s). Contact the Biology Department field course coordinator for additional information.
449|Biology Field Course 3|BIOL 490C||A two-week field study of terrestrial, aquatic, and/or marine biology offered by the Ontario Universities Program in Field Biology (OUPFB). OUPFB offers a diverse array of courses annually that normally take place at off campus locations. Field courses consist of lectures, field exercises, and a small project chosen in consultation with the course instructor(s). Contact the Biology Department field course coordinator for additional information.
